payment_id,payment_token_id,external_ticket_id,conversation_created_at,conversation_created_at_date,channel,assignee_id,updated_at,closed_at,message_count,last_reply_at,language,imported_at,unique_public_agent_count,public_mean_character_count,public_mean_word_count,private_message_count,public_message_count,klaus_sentiment,is_closed,agent_most_public_messages,first_response_time,first_resolution_time_seconds,full_resolution_time_seconds,most_active_internal_user_id,deleted_at
10007,1001883,149309300347512,2023-07-16 19:15:30.000000 UTC,2023-07-16,conversation,10155,2023-09-28 15:17:53.000000 UTC,2023-09-28 15:17:53.000000 UTC,19,2023-07-31 16:53:19.000000 UTC,en,2023-09-28 16:40:38.843085 UTC,3,160.6875,28.58823529,2,11,NEGATIVE,TRUE,3565392,82,2891873,2891873,10155,
10007,10195,149309300347512,2023-07-16 19:15:30.000000 UTC,2023-07-16,conversation,10155,2023-09-28 15:17:53.000000 UTC,2023-09-28 15:17:53.000000 UTC,19,2023-07-31 16:53:19.000000 UTC,en,2023-09-28 16:10:44.102450 UTC,3,160.6875,28.58823529,2,11,NEGATIVE,TRUE,3565392,82,2891873,2891873,10155,
10007,10195,149309300298360,2023-01-06 15:05:59.000000 UTC,2023-01-06,conversation,25585,2023-03-03 18:46:55.000000 UTC,2023-03-03 18:46:42.000000 UTC,93,2023-03-03 18:46:55.000000 UTC,en,2023-03-03 21:00:13.976861 UTC,2,106.8648649,20.7972973,19,73,NEGATIVE,TRUE,5826441,,,,25585,
10007,10195,149309300298347,2023-01-06 13:25:18.000000 UTC,2023-01-06,conversation,10155,2023-04-05 15:27:42.000000 UTC,2023-04-05 15:27:42.000000 UTC,61,2023-04-03 18:33:51.000000 UTC,en,2023-04-05 16:40:41.686185 UTC,2,149.1538462,27.30769231,22,38,NEGATIVE,TRUE,3565392,,,,10155,
10007,10195,149309300320789,2023-02-16 10:21:44.000000 UTC,2023-02-16,conversation,10155,2023-03-21 15:40:30.000000 UTC,2023-03-21 15:40:30.000000 UTC,123,2023-03-21 15:40:29.000000 UTC,en,2023-03-21 16:10:35.638833 UTC,2,73.64761905,12.6952381,18,104,NEGATIVE,TRUE,3565392,,,,10155,
10007,10195,149309300335151,2023-05-09 12:29:40.000000 UTC,2023-05-09,conversation,25585,2023-05-15 14:12:42.000000 UTC,2023-05-15 14:12:29.000000 UTC,37,2023-05-15 14:12:42.000000 UTC,nl,2023-05-15 16:20:21.784771 UTC,1,81,15.62857143,2,34,NEGATIVE,TRUE,5826441,10,222169,222169,25585,
10007,10195,149309300336216,2023-05-09 23:38:32.000000 UTC,2023-05-09,conversation,22304,2023-05-22 11:10:06.000000 UTC,2023-05-22 11:09:54.000000 UTC,17,2023-05-22 11:10:06.000000 UTC,en,2023-05-22 13:00:18.443995 UTC,1,64.81818182,10,6,8,NEGATIVE,TRUE,5103352,,446994,446994,22304,
10007,10195,149309300344136,2023-06-28 14:59:42.000000 UTC,2023-06-28,conversation,10155,2023-06-29 14:41:55.000000 UTC,2023-06-28 15:10:41.000000 UTC,17,2023-06-29 14:41:55.000000 UTC,en,2023-06-29 15:30:25.327702 UTC,1,66.92857143,12.57142857,3,13,NEGATIVE,TRUE,3565392,105,658,658,10155,
10007,10195,149309300344148,2023-06-28 17:50:45.000000 UTC,2023-06-28,conversation,25585,2023-07-03 14:10:14.000000 UTC,2023-07-03 14:10:03.000000 UTC,17,2023-07-03 14:10:14.000000 UTC,en,2023-07-03 14:50:24.957631 UTC,1,71.86666667,14.66666667,2,14,NEGATIVE,TRUE,5826441,8,148758,148758,25585,
10007,10195,149309300344107,2023-06-28 07:38:50.000000 UTC,2023-06-28,conversation,22304,2023-06-28 07:54:25.000000 UTC,2023-06-28 07:54:14.000000 UTC,34,2023-06-28 07:54:25.000000 UTC,en,2023-06-28 09:00:27.736951 UTC,1,61,12.24242424,1,27,NEGATIVE,TRUE,5103352,,,,22304,
