review_id,payment_id,payment_token_id,created,conversation_created_at,conversation_created_date,conversation_external_id,team_id,reviewer_id,reviewee_id,comment_id,scorecard_id,scorecard_tag,score,updated_at,updated_by,assignment_review,seen,disputed,review_time_seconds,assignment_name,imported_at
469126,10007,1001654,2023-08-22 7:53:43,,,30069,10491,21065,21065,,,,100,2023-08-22 7:53:43,21065,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
322627,10007,10195,2023-03-09 13:53:48,,,149309300326699,10725,24150,21118,181351,,,0,2023-03-09 13:53:48,24150,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
321045,10007,10195,2023-03-08 13:49:00,,,149309300326621,10725,24150,21118,179641,,,100,2023-03-08 13:49:00,24150,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
320937,10007,10195,2023-03-08 13:08:12,,,149309300326592,10725,24150,24150,,,,57.14285714,2023-03-08 13:08:12,24150,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
320939,10007,10195,2023-03-08 13:11:30,,,149309300326621,10725,24150,26265,179532,,,50,2023-03-08 13:11:30,24150,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
322625,10007,10195,2023-03-09 13:53:05,,,149309300326699,10725,24150,26265,181349,,,90,2023-03-09 13:53:05,24150,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
322575,10007,10195,2023-03-09 13:31:57,,,149309300326699,11139,24150,24150,181295,2566,default,0,2023-03-09 13:31:57,24150,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
322526,10007,10195,2023-03-09 13:10:28,,,149309300326699,11139,24150,26265,181243,2566,default,75,2023-03-09 13:10:28,24150,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
434954,10007,10195,2023-07-12 8:37:46,,,149309300344718,10005,10159,35039,,1639,always,100,2023-07-12 8:37:46,10159,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
452789,10007,10195,2023-08-01 7:09:36,,,149309300350700,10040,10159,10155,,,,100,2023-08-01 7:09:36,10159,FALSE,FALSE,FALSE,,MY ASSIGNMENT,2023-11-03 9:08:31
325617,10007,10195,2023-03-13 14:50:52,,,149309300326861,10040,10246,21169,184755,1110,default,100,2023-03-13 14:50:52,10246,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
350493,10007,10195,2023-04-14 6:27:45,,,149309300332587,10040,10246,21169,212113,1110,default,75,2023-04-14 6:27:45,10246,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
325514,10007,10195,2023-03-13 13:43:14,,,149309300326861,10244,10246,21169,184648,,,100,2023-03-13 13:43:14,10246,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
444514,10007,10195,2023-07-21 13:21:24,,,149309300344718,10040,23562,10155,,,,79.16666667,2023-07-21 13:21:24,23562,FALSE,FALSE,FALSE,,Radio test,2023-11-03 9:08:31
397784,10007,10195,2023-05-29 14:37:11,,,149309300339614,10883,21118,22594,,1461,default,91.66666667,2023-06-01 15:02:32,21118,FALSE,TRUE,TRUE,,Weekly group assignment,2023-11-03 9:08:31
462471,10007,1001473,2023-08-10 10:37:54,,,205030800000702,10040,34817,34550,327965,,,100,2023-08-10 10:37:54,34817,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
323897,10007,10195,2023-03-10 12:43:08,,,149309300213554,11696,26402,34368,182791,,,100,2023-03-10 12:43:08,26402,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
341558,10007,10195,2023-04-03 12:30:39,,,149309300330865,11174,24151,10155,,2711,default,100,2023-04-03 12:30:39,24151,FALSE,FALSE,FALSE,,New assignment whoopty!,2023-11-03 9:08:31
343090,10007,1001473,2023-04-05 9:55:15,,,205030800000450,11174,24151,26234,,2711,default,50,2023-04-05 9:55:15,24151,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
471567,10007,10195,2023-08-24 20:28:04,,,149309300356187,10040,26234,10155,,,,100,2023-08-24 20:28:04,26234,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
341943,10007,1001473,2023-04-04 7:36:08,,,205030800000431,10040,10245,10396,202558,1110,default,100,2023-04-04 7:36:08,10245,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
342162,10007,1001473,2023-04-04 10:42:59,,,205030800000431,10040,10000,10396,202805,1110,default,100,2023-04-04 10:42:59,10000,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
452180,10007,10195,2023-07-31 9:58:04,,,149309300352231,10040,25852,25852,,,,100,2023-07-31 9:58:04,25852,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
276295,10007,10195,2023-01-18 9:02:29,,,149309300299030,11578,25852,25852,,4837,default,75,2023-01-18 9:02:29,25852,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
322573,10007,10195,2023-03-09 13:25:45,,,149309300326699,11578,25852,26097,181293,4837,default,0,2023-03-09 13:25:45,25852,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
466923,10007,10195,2023-08-17 10:51:07,,,149309300363111,11696,36823,26402,,9295,autoqa,100,2023-08-17 10:51:07,36823,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
456522,10007,10195,2023-08-03 11:16:43,2023-07-31 17:26:43.000000 UTC,2023-07-31,149309300354334,11174,24151,24151,,2711,default,30,2023-08-03 11:16:43,24151,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
457823,10007,10195,2023-08-04 12:05:31,2023-07-31 17:26:43.000000 UTC,2023-07-31,149309300354334,11174,24151,10155,,2711,default,100,2023-08-04 12:05:31,24151,FALSE,FALSE,FALSE,,Juli 31 things,2023-11-03 9:08:31
452251,10007,10195,2023-07-31 13:12:02,2023-07-31 12:11:16.000000 UTC,2023-07-31,149309300352424,11174,24151,10155,317897,2711,default,66.66666667,2023-07-31 13:12:02,24151,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
453870,10007,10195,2023-08-01 13:27:20,2023-07-31 17:26:43.000000 UTC,2023-07-31,149309300354334,11174,26234,10155,,2711,default,91.66666667,2023-08-01 13:27:20,26234,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
455277,10007,10195,2023-08-02 11:25:39,2023-07-31 12:48:28.000000 UTC,2023-07-31,149309300352438,10040,26402,10155,,,,100,2023-08-02 11:25:39,26402,FALSE,FALSE,FALSE,,Name!,2023-11-03 9:08:31
525028,10007,1001473,2023-10-20 14:47:10,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10005,21171,34550,,1639,always,100,2023-10-20 14:47:10,21171,FALSE,TRUE,FALSE,,Margus test #1,2023-11-03 9:08:31
510633,10007,1001473,2023-10-03 8:51:06,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10040,21171,22008,,,,100,2023-10-03 8:51:06,21171,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
520322,10007,1001473,2023-10-17 9:33:10,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10040,21171,34550,387219,,,100,2023-10-17 9:33:10,21171,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
510632,10007,1001473,2023-10-03 8:50:53,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10040,21171,34550,,,,100,2023-10-03 8:50:53,21171,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
506240,10007,1001473,2023-09-28 10:50:06,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10040,34817,34550,372245,,,100,2023-09-28 10:50:06,34817,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
523955,10007,1001473,2023-10-20 8:51:25,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10005,26234,26251,,1639,always,100,2023-10-20 8:51:25,26234,FALSE,FALSE,FALSE,,Margus test #1,2023-11-03 9:08:31
525821,10007,1001473,2023-10-23 11:29:23,2023-09-28 06:24:09.000000 UTC,2023-09-28,205030800000833,10005,26234,34550,,1639,always,100,2023-10-23 11:29:23,26234,FALSE,TRUE,FALSE,,Margus test #1,2023-11-03 9:08:31
293735,10007,10195,2023-02-08 22:29:19,2023-02-08 19:49:47.000000 UTC,2023-02-08,149309300319084,10005,26234,26232,,1026,default,100,2023-02-08 22:29:19,26234,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
471027,10007,1001883,2023-08-24 7:46:19,2023-08-24 06:57:28.000000 UTC,2023-08-24,149309300366572,10883,21118,36345,,1461,default,0,2023-08-24 7:46:42,21118,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
471028,10007,1001883,2023-08-24 7:47:24,2023-08-24 06:57:28.000000 UTC,2023-08-24,149309300366572,10883,21118,35045,,1461,default,0,2023-08-24 7:47:33,21118,FALSE,FALSE,FALSE,,,2023-11-03 9:08:31
495819,10007,1001473,2023-09-19 15:29:13,2023-09-19 14:49:41.000000 UTC,2023-09-19,205030800000798,10040,10000,34083,361682,,,100,2023-09-19 15:29:13,10000,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
439876,10007,10195,2023-07-18 8:10:06,2023-07-17 20:23:01.000000 UTC,2023-07-17,149309300348759,10040,25852,25585,,,,100,2023-07-18 8:10:06,25852,FALSE,TRUE,FALSE,,,2023-11-03 9:08:31
